6955	6490
6965	44
6968	71
6981	5026
6985	5512
6997	4159
7003	2844
7010	52
7015	4814
7016	88
7017	1584
7020	2863
7024	552
7032	5948
7042	144
7044	182
7049	280
7054	4362
7055	5041
7059	105
7064	1584
7067	6244
7071	1536
7072	88
7076	1493
7082	1470
7087	88
7089	1320
7090	7765
7100	132
7101	777
7106	9261
7111	696
7116	1452
7117	7000
7119	129
7123	3000
7129	2428
7131	2710
7134	520
7136	680
7149	1176
7153	4440
7164	7075
7165	65
7172	963
7175	3515
7177	44
7179	48
7181	1320
7183	5369
7184	6880
7195	655
7196	3148
7202	4622
7207	320
7219	1452
7220	88
7233	4440
7239	4501
7240	3114
7249	53
7253	1216
7255	88
7257	44
7272	846
7275	305
7278	7479
7280	3747
7284	2595
7285	2967
7291	2461
7299	2408
7306	1661
7307	1584
7308	450
7309	650
7310	2382
7313	1061
7326	4968
7329	914
7330	1320
7333	1320
7336	4903
7337	4934
7339	4500
7344	43
7350	7542
7359	7500
7363	288
7373	292
7380	1206
7382	1453
7384	2642
7387	2070
7388	86
7390	44
7395	1973
7402	1246
7405	87
7416	420
7425	44
7432	132
7436	44
7439	375
7447	2770
7458	799
7459	48
7460	1452
7470	44
7472	3869
7476	74
7479	1584
7484	350
7487	1068
7500	8094
7501	1289
7507	128
7516	316
7518	6252
7530	44
7539	520
7541	104
7542	4942
7549	7372
7559	1362
7560	4802
7561	2397
7562	4515
7581	1584
7584	746
7591	8152
7595	2706
7600	7616
7612	2542
7622	7440
7628	132
7636	40
7639	2040
7641	375
7642	1320
7644	701
7651	1452
7652	1162
7654	4595
7664	3036
7673	48
7674	298
7679	271
7683	44
7686	88
7693	258
7695	3472
7705	966
7708	2033
7709	4393
7718	74
7726	44
7736	8100
7738	1452
7739	1320
7747	6739
7749	1828
7751	44
7752	48
7756	44
7760	4162
7762	6806
7766	2171
7770	1065
7771	1334
7772	515
7775	40
7788	44
7789	48
7799	722
7803	2832
7805	7881
7806	93
7807	504
7812	40
7822	368
7823	2092
7824	4960
7830	44
7831	7399
7832	7108
7833	64
7836	44
7840	481
7844	44
7845	5023
7847	1814
7850	239
7851	4798
7854	44
7855	6130
7859	4414
7861	1438
7862	80
7872	120
7873	268
7877	87
7878	2856
7879	5548
7892	7668
7894	6677
7895	6781
7897	44
7898	7160
7920	6336
7931	2768
7935	994
7937	5793
7939	2535
7944	861
7945	872
7946	3477
7948	4940
7951	1584
7952	44
7953	2625
7964	305
7966	44
7967	1113
7971	410
7975	1452
7979	1196
7982	1320
7985	1236
7987	7200
7988	3664
7991	1471
7994	1296
8000	2335
8007	520
8019	2070
8022	483
8024	1456
8025	572
8031	162
8032	1896
8047	677
8062	2137
8066	6703
8076	48
8082	7292
8092	2583
8096	88
8101	660
8102	3195
8105	638
8108	922
8113	412
8122	1306
8123	1320
8125	1777
8126	5430
8128	142
8129	60
8130	2362
8136	80
8141	2087
8143	2960
8144	2726
8147	74
8150	102
8154	2314
8158	44
8160	1440
8168	1584
8174	378
8177	344
8180	2319
8182	490
8183	996
8190	912
8192	2220
8196	1452
8209	2117
8219	320
8224	6995
8227	44
8233	44
8237	5120
8240	2360
8246	982
8247	1452
8249	6354
8259	120
8263	6337
8264	4283
8267	2616
8274	680
8275	7390
8281	3995
8287	44
8289	912
8292	4440
8297	349
8305	1452
8306	6900
8309	631
8311	1047
8316	1418
8319	5279
8320	260
8325	5006
8327	1319
8328	6993
8331	5968
8334	1780
8335	1241
8337	96
8339	4021
8342	920
8350	4005
8352	1403
8353	5348
8359	44
8364	1508
8366	44
8368	1510
8370	48
8376	2896
8377	44
8378	196
8381	44
8389	3291
8390	1393
8394	7753
8397	700
8400	432
8402	292
8403	554
8405	44
8410	44
8412	129
8418	2451
8420	1064
8425	1584
8433	5024
8436	344
8437	1690
8441	463
8443	2452
8444	1452
8448	6656
8449	44
8450	1174
8454	129
8456	88
8460	431
8462	910
8464	41
8466	3200
8475	1648
8481	104
8490	88
8493	52
8495	3730
8505	4916
8537	88
8546	88
8556	104
8557	1273
8560	80
8564	44
8567	3619
8569	8155
8570	48
8571	4099
8574	200
8583	116
8585	205
8589	5057
8590	4277
8592	7330
8596	2311
8601	1148
8602	147
8610	4256
8611	6075
8616	126
8619	48
8624	988
8627	1035
8629	218
8634	40
8638	3177
8639	44
8641	330
